title,text,label
Foreign rescuers join frantic search for Myanmar quake survivors,"Rescue teams from around the world are in Myanmar after a powerful 7.7 magnitude earthquake struck on Friday, killing 1,700 people",Real
Watch: Rescuers dig through pile of concrete after Bangkok tower collapse,"Days after the Myanmar earthquake, rescue efforts have been continuing in neighbouring Thailand's capital city, Bangkok, where a skyscraper that was under construction collapsed. ",Real
Bringing the forgotten weavers back into the rich tapestry of Indian textiles,"For decades, the gamchha has been a ubiquitous presence on Indian streets.",Real
'I've not heard of incel before': Teenager dissects Adolescence with his worried parents,"""It's just weird to talk about your sexual feelings to your parents,"" says 15-year-old Ben*.",Real
Israel-Hamas ceasefire back on table in new negotiations,The Palestinian militant group Hamas says it supports resuming a ceasefire in the Gaza Strip through a proposal put forward by mediators which would see five more hostages released to Israel in exchange for a 50-day truce.,Real
Watch: Rescuers dig through pile of concrete after Bangkok tower collapse,"Days after the Myanmar earthquake, rescue efforts have been continuing in neighbouring Thailand's capital city, Bangkok, where a skyscraper that was under construction collapsed. ",Real
Trump says he 'couldn't care less' about higher car prices,"Donald Trump has said he ""couldn't care less"" if carmakers raise prices after his 25% tariffs on foreign-made vehicles comes into effect.",Real
The US firms backing Trump's fight over trade,Head to the grocery store in the US and the shelves are stocked with jars of St Dalfour strawberry spread and Bonne Maman raspberry preserves - some of the more than $200 million (£154m) in jams that Europe sends to the US each year.,Real
In pictures: Eid celebrations around the world,"Muslims around the world have begun celebrating Eid al-Fitr, one of the biggest celebrations in the Islamic calendar.",Real
Bringing the forgotten weavers back into the rich tapestry of Indian textiles,"For decades, the gamchha has been a ubiquitous presence on Indian streets.",Real
Man tending grave probed for starting South Korea fires,A 56-year-old man is being investigated in South Korea on suspicion of starting a deadly wildfire that killed 30 people.,Real
Chair of charity Harry quit calls prince's brand 'toxic',"The head of a charity co-founded by the Duke of Sussex has called his brand ""toxic"" and claimed it hindered the group, after he and several others quit the organisation earlier this week. ",Real
Protesters return to Istanbul's streets for huge rally,"Hundreds of thousands of pro-democracy demonstrators have returned to the streets of Istanbul, Turkey, to show support for the city's jailed mayor.",Real
