title,text,label
"Yes, Trump said Musk knows vote-counting computers 'better than anybody'","About this rating 

",Fake
We've fact-checked these 24 rumors about Melania Trump,"U.S. first lady Melania Trump grew up in 1970s Slovenia (which was then part of Communist-run Yugoslavia) and worked as a European model before marrying Donald Trump in 2005. She became a U.S. citizen the following year. And when he began his first presidential term in 2017, Melania became the first first lady to be a naturalized citizen.",Fake
"No, Germany is not shutting down Tesla production","About this rating 

",Fake
Video showing hundreds of people trapped on sinking ship cropped to remove 'AI' label,"About this rating 

",Fake
Don't fall for rumor Patrick Mahomes rejected $10M from Musk,"About this rating 

",Fake
Investigating rumor claiming Pete Hegseth owned Russian email address,A rumor that several users circulated online in March 2025 claimed U.S. Secretary of Defense Pete Hegseth once owned the Russian email address phegseth@mail.ru. The Russian technology company VK owns (archived) the Mail.ru email-provider website. (The domain name extension .ru pertains to Russia.),Fake
"Rumeysa Ozturk, a Tufts University grad student, was detained by masked ICE agents","About this rating 

",Fake
"No, Project 2025 doesn't advise government officials to use Signal to avoid recordkeeping laws","About this rating 

",Fake
Trump budget cuts canceled 20 truckloads of food for Cleveland food bank,"About this rating 

",Fake
Trump officials may have texted classified info to group chat with journalist. Here's the complete breakdown,"Top officials in the administration of U.S. President Donald Trump added Atlantic editor-in-chief Jeffrey Goldberg to a group chat in which officials shared what the White House has described as ""sensitive"" information.",Fake
"Usha Vance's Greenland visit plans were changed, not canceled. Officials have given different reasons why","On March 27, 2025, a day before a planned visit by U.S. Vice President JD Vance and his wife, Usha Vance, to Greenland, claims circulated online that officials had canceled the visit after no locals wanted to meet with the second lady.",Fake
Karoline Leavitt took selfie in 'Make America Blonde Again' T-shirt?,"About this rating 

",Fake
"What is DOGE? Exploring the initiative's creation, legality and purpose","Since the Department of Government Efficiency was announced in November 2024, critics have repeatedly questioned its legitimacy and purpose. U.S. President Donald Trump formally launched it on Jan. 20, 2025, with tech billionaire Elon Musk prominently positioned as its public face.",Fake
No evidence House Speaker Mike Johnson is on Grindr,"In late March 2025, social media users began spreading a rumor that U.S. House Speaker Mike Johnson, a Republican, has an account on Grindr, the gay dating app. ",Fake
"Yes, Biden admin authorized use of Signal — but not for sensitive military intel","After The Atlantic's March 24, 2025, report (archived) that U.S. national intelligence officials included the magazine's editor-in-chief, Jeffrey Goldberg, in a group chat about military strikes in Yemen, CIA Director John Ratcliffe claimed that former U.S. President Joe Biden's administration also used Signal for government communications.",Fake
Tesla rumor claiming mugshot shows man crying after arrest for vandalizing dealership is false,"About this rating 

",Fake
Florida lawmakers debate lifting some child labor laws,"In late March 2025, claims (archived) circulated online that the state of Florida was debating lifting some child labor laws to fill jobs formerly held by immigrants. ",Fake
Televangelist Kenneth Copeland is the target of false AI-generated videos,"About this rating 

",Fake
Trump is talking about 'compensation' for Jan. 6 rioters,"About this rating 

",Fake
