Sr No,News,Label
0, பாஸ்வேர்டை பகிரும் பயனர்களிடம் கூடுதல் கட்டணம்: நெட்ஃப்ளிக்ஸ் பலே திட்டம்  ,0
1, இந்தியாவில் நடப்பு ஆண்டின் இறுதிக்குள் ‘ஏகே-203’ ரக துப்பாக்கிகள் தயாரிப்பு?   ,0
2, பட்ஜெட் விலையில் மோட்டோ E22s ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை &...   ,0
3, கலாம் கண்ட கடைசி கனவை நனவாக்குவோம்   ,0
4, பட்ஜெட் விலையில் ரெட்மி ஏ1+ ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம் | விலை &...   ,0
5, கூகுள் பிளே பாயிண்ட்ஸ் இந்தியாவில் அறிமுகம் | டவுன்லோட் செய்தால் புள்ளிகள் பெறலாம்:...   ,0
6, நோக்கியா ஜி11 பிளஸ் ஸ்மார்ட்போன் இந்தியாவில் அறிமுகம்: விலை & அம்சங்கள்   ,0
7, ஃபேஸ்புக்கில் தொழில்நுட்ப கோளாறு? - ஃபாலோயர்களை அதிக அளவில் இழக்கும் பயனர்கள்   ,0
8, 5ஜி சாதனங்களில் நவம்பர் மத்தியில் 5ஜி சப்போர்ட்:  சாம்சங் தகவல்; பிற நிறுவனங்களின்...   ,0
9, ஸ்மார்ட்போனில் 5ஜி பயன்படுத்த புதிய சிம் கார்டு தேவையா?   ,0
10, பரிசோதனைக்கு முன்னர் கர்ப்பத்தை கண்டறிந்த ஆப்பிள் வாட்ச்: பெண் பயனர் பகிர்ந்த தகவல்   ,0
11, வாட்ஸ்அப் கட்டணச் சந்தா சேவை: இப்போதைக்கு பீட்டா பயனர்களின் பயன்பாட்டுக்கு கிடைக்க வாய்ப்பு   ,0
12, பயனர்களின் ஃபேஸ்புக் பாஸ்வேர்டை களவாடும் செயலிகள்: மெட்டா எச்சரிக்கை   ,0
13, ஆண்ட்ராய்டு செயலியை அறிமுகம் செய்த UPSC | என்னென்ன தகவல்களை பெறலாம்?   ,0
14, ஓட்டுநர்கள் இல்லா மெட்ரோ ரயில் - சென்னையில் விரைவில் அறிமுகம்   ,0
15, இந்தியாவில் 4ஜி மற்றும் 5ஜி சேவையை பிஎஸ்என்எல் அறிமுகம் செய்வது எப்போது? வெளியான...   ,0
